Reporter,Partner,Flow,Value,Unit,FlowYear,FlowSourceUrl,FlowSource,FlowSourceRate,Balance,ReporterIso,PartnerIso,BalanceSourceUrl,BalanceSource,GDP,flowRank
Austria,Germany,Export,"42,863",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/aut,World Integrated Trade Solution,,10190,AUT,DEU,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,376950,1
Austria,United States,Export,"9,648",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/aut,World Integrated Trade Solution,,10190,AUT,USA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,376950,2
Austria,Italy,Export,"8,869",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/aut,World Integrated Trade Solution,,10190,AUT,ITA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,376950,3
Austria,Switzerland,Export,"8,362",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/aut,World Integrated Trade Solution,,10190,AUT,CHE,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,376950,4
Austria,France,Export,"6,350",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/aut,World Integrated Trade Solution,,10190,AUT,FRA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,376950,5
Austria,Germany,Import,"53,770",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/aut,World Integrated Trade Solution,,10190,AUT,DEU,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,376950,1
Austria,Italy,Import,"8,924",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/aut,World Integrated Trade Solution,,10190,AUT,ITA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,376950,2
Austria,China,Import,"8,756",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/aut,World Integrated Trade Solution,,10190,AUT,CHN,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,376950,3
Austria,Switzerland,Import,"8,583",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/aut,World Integrated Trade Solution,,10190,AUT,CHE,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,376950,4
Austria,Czech Republic,Import,"6,177",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/aut,World Integrated Trade Solution,,10190,AUT,CZE,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,376950,5
Azerbaijan,Italy,Export,"2,414",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/aze,World Integrated Trade Solution,,264,AZE,ITA,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,53047,1
Azerbaijan,Germany,Export,"1,228",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/aze,World Integrated Trade Solution,,264,AZE,DEU,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,53047,2
Azerbaijan,Spain,Export,"1,085",USD (million),2015,http://wits.worldbank.org/Countrysnapshot/en/aze,World Integrated Trade Solution,,264,AZE,ESP,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2187rank.html,CIA World Factbook,53047,3
